Attribute,Value
Number of Players,2–4 Players / Community: 2–4 — Best: 2
Play Time,30–45 Min / Playing Time
Suggested Age,Age: 8+ / Community: 8+
Complexity,Weight: 1.77 / 5 / Complexity Rating / 'Complexity' Rating / Results / Learn more about complexity ratings
Avg. Rating,7.736
No. of Ratings,"96,923"
Std. Deviation,1.16
Weight,1.77 / 5
Comments,"12,119"
Fans,"5,481"
Page Views,"3,673,530"
Overall Rank,83
Abstract Rank,2
Family Rank,13
All Time Plays,"756,594"
This Month,"2,063"
Own,"160,202"
Prev. Owned,"6,750"
For Trade,894
Want In Trade,966
Wishlist,"14,818"
Has Parts,39
Want Parts,27
